Poster_Url,poster_path,download_status,download_error,poster_available,poster_width,poster_height,poster_aspect_ratio,poster_format,poster_validation_error
https://image.tmdb.org/t/p/original/AmJLuHjxPdIJO6vmymeWADG6jK5.jpg,data/poster_cache/153a6b6c6d97169c3c79d586f7e286882a453234ec930f5a2112f3b61292a71b.jpg,cached,,True,1000,1500,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/vzX5GNRTXsAltdU1tfASmZbzYmv.jpg,data/poster_cache/20b18330dfe4df1050f0351a20c85623637f449f64e1abeb1571b2bbd3f44186.jpg,cached,,True,1000,1500,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/iZjMFSKCrleKolC1gYcz5Rs8bk1.jpg,data/poster_cache/744351bab81335ad2de86f24bd56fc70d98f71fc7e24bb23a08336571fa7d6d7.jpg,cached,,True,667,1000,0.667,JPEG,
https://image.tmdb.org/t/p/original/kv2Qk9MKFFQo4WQPaYta599HkJP.jpg,data/poster_cache/f6158a83616ec325d665318da3d09c673a8eb72784d7e00abe5dbbd9b49360c9.jpg,cached,,True,1000,1500,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/xmbU4JTUm8rsdtn7Y3Fcm30GpeT.jpg,data/poster_cache/183ce13c0386761dc624cbb847483c84875ebc4b6753653a2a41e016e6de4567.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/7M0uwPgwvPONdFG0jk8TPK09xJU.jpg,data/poster_cache/e285747914d36dfd3c8f34e3b4b90d444f1b130b313b983f6cac8cc9a8df4ca3.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/4RYZSHM3eaxXAnjbgNiVaqmekL8.jpg,data/poster_cache/65fda38e83f3c5f12e3adcb32e4e99536d3ffa89d2310aa60a8beb24ed0680ed.jpg,cached,,True,1000,1500,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg,data/poster_cache/a245eb15d58bdb8648c45db528c495d96f20424bc9c477cb8665f943b3079cb0.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/oZvMcGvyTfrFLny6i3RJONQb5C9.jpg,data/poster_cache/95f1b8417a42802978b8690eddf8b60f69de3a3803d1f1a0ef31ec65aff91d00.jpg,cached,,True,1000,1500,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/4qE7mvUYGY5epfcgeJpM6EfHgq5.jpg,data/poster_cache/b0ded42aa9a3c4f47c0cdf6ac5545a72f8c4c2a62dd9ad833c6e89a7d50129f2.jpg,cached,,True,500,750,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,data/poster_cache/c3a3fd7149c7d20a00119937b2f4f4a6ff81cd839ed838b1790b416992b1b534.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/kb4s0ML0iVZlG6wAKbbs9NAm6X.jpg,data/poster_cache/5a4e6c41899c7b6a31ab1818d34746de22cd5f66c128c79476f2d37cd1733c9a.jpg,cached,,True,950,1426,0.6661991584852734,JPEG,
https://image.tmdb.org/t/p/original/oifhfVhUcuDjE61V5bS5dfShQrm.jpg,data/poster_cache/22440a02819820542f1508468ea56fed880709f784dbf7642a91b2e21492d7e8.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/7pYYGm1dWZGkbJuhcuaHD6nE6k7.jpg,data/poster_cache/7a1beabffde814d36147817f3fa2e0c55f0cee76c242b5782ccdc13dc8fd5144.jpg,cached,,True,1000,1500,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/7e4n1GfC9iky9VQzH3cDQz9wYpO.jpg,data/poster_cache/fd67c2e4d6df5df7adf72c4aa62efb757127b2cd30cd0f2c91aba2453581e6ce.jpg,cached,,True,1175,1763,0.6664775950085082,JPEG,
https://image.tmdb.org/t/p/original/cMch3tiexw3FdOEeZxMWVel61Xg.jpg,data/poster_cache/69d2723b70504a559a2e253855ce0deb89ecd9b76d33bf5de1556e7ae86f039a.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/vTtkQGC7qKlSRQJZYtAWAmYdH0A.jpg,data/poster_cache/815738ebea1c24ec31c130ce6e6d8e98065293cb3317895f7f452bfa84ccee3f.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/wToO8opxkGwKgSfJ1JK8tGvkG6U.jpg,data/poster_cache/446b565f1e529ed915d09addf86fdd7f7922eb824defb70f1c188364d19296b4.jpg,cached,,True,1666,2500,0.6664,JPEG,
